         140802 function calls (136090 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      298    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      268    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:163(__enter__)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
      298    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
    326/5    0.000    0.000    0.229    0.046 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
      259    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(__exit__)
     1036    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      483    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:406(cached)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       17    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:436(spec_from_loader)
      259    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
  259/258    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:630(_load_backward_compatible)
    263/5    0.001    0.000    0.228    0.046 <frozen importlib._bootstrap>:659(_load_unlocked)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
      268    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
     1042    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
     1042    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
        9    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:870(_find_spec_legacy)
  268/264    0.002    0.000    0.070    0.000 <frozen importlib._bootstrap>:879(_find_spec)
    268/3    0.001    0.000    0.230    0.077 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      298    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
    268/3    0.002    0.000    0.230    0.077 <frozen importlib._bootstrap>:966(_find_and_load)
 1027/364    0.001    0.000    0.148    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
